                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7155,                 2.3042,                 1.9334,                  0.345,                0.38608,                0.29617,                 0.1074,                  1.996,                 2.2479,                 2.1322,               0.067355,             0.00032975,             0.00032975
                      2,                 1.6236,                 1.9665,                 1.8858,                0.44714,                0.59162,                0.48088,                0.20131,                 1.8592,                 1.8579,                 1.9863,               0.034348,             0.00065652,             0.00065652
                      3,                 1.5997,                 1.9005,                 1.8905,                0.46059,                0.56777,                0.46149,                0.21554,                 1.8051,                 1.9921,                   1.98,              0.0013351,             0.00097669,             0.00097669
                      4,                 1.6225,                 1.9069,                 1.9222,                0.47439,                0.65445,                0.48161,                0.21245,                 1.7838,                 2.1878,                 1.9803,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.6009,                 1.8494,                 1.8893,                0.52299,                0.63874,                0.57938,                0.25013,                  1.865,                 1.7495,                 1.9849,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.5794,                 1.7842,                 1.8629,                 0.5207,                 0.6178,                0.54341,                0.25558,                 1.7335,                 1.7633,                 1.8704,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.5564,                 1.7807,                 1.8491,                0.55843,                0.56545,                0.56627,                0.26417,                 1.8592,                 1.6654,                 1.9883,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.5409,                  1.721,                 1.8247,                0.52419,                0.66492,                0.60085,                0.29576,                  1.637,                 1.5494,                 1.8205,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.5592,                 1.7343,                 1.8384,                0.49103,                0.57592,                0.51222,                0.21081,                 2.0208,                 1.7756,                 2.0897,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.5444,                 1.7051,                  1.845,                0.52758,                 0.6841,                0.60728,                0.30383,                 1.7369,                 1.5023,                 1.8828,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.5548,                 1.7178,                 1.8412,                0.53817,                0.59179,                0.60966,                0.27708,                 1.8506,                  1.609,                 2.0767,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.5203,                 1.6717,                 1.8307,                0.55761,                0.55434,                0.55171,                0.26735,                 1.7948,                 1.5743,                 1.9076,               0.000901,               0.000901,               0.000901
                     13,                 1.4943,                 1.6132,                 1.7884,                0.66782,                0.50785,                0.61612,                0.30035,                 1.8042,                 1.6264,                 1.9359,              0.0008911,              0.0008911,              0.0008911
                     14,                  1.479,                  1.617,                 1.7934,                0.62293,                0.60545,                0.65678,                0.31159,                 1.8306,                 1.4482,                   1.94,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.4988,                 1.6686,                  1.784,                0.56403,                0.64398,                0.61053,                0.30751,                 1.6798,                 1.4934,                 1.8766,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.4586,                 1.5681,                 1.7744,                0.58447,                0.68586,                0.64112,                0.30816,                 1.7445,                 1.5169,                  1.884,              0.0008614,              0.0008614,              0.0008614
                     17,                  1.501,                 1.6249,                 1.8096,                0.62629,                0.63351,                0.64414,                 0.3489,                 1.5822,                 1.4419,                 1.7933,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.4745,                 1.6035,                 1.7762,                0.58389,                0.66492,                0.66116,                0.36677,                 1.5726,                 1.4334,                 1.7776,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.4551,                 1.5488,                 1.7777,                0.58307,                0.71024,                0.68778,                0.36877,                 1.6664,                 1.3299,                 1.8381,              0.0008317,              0.0008317,              0.0008317
                     20,                 1.4685,                 1.5409,                 1.7716,                0.62136,                 0.6358,                0.67712,                0.37644,                 1.6113,                 1.3202,                 1.7981,              0.0008218,              0.0008218,              0.0008218
                     21,                  1.438,                 1.5272,                 1.7295,                0.61271,                0.67016,                0.69056,                0.40153,                 1.5682,                 1.2596,                 1.7506,              0.0008119,              0.0008119,              0.0008119
                     22,                 1.4359,                 1.5013,                 1.7388,                0.53729,                0.70157,                0.64414,                0.36794,                 1.5248,                 1.3691,                 1.7252,               0.000802,               0.000802,               0.000802
                     23,                   1.42,                 1.4788,                 1.7176,                 0.5514,                0.74346,                0.60682,                0.32287,                 1.5062,                 1.3697,                 1.7224,              0.0007921,              0.0007921,              0.0007921
                     24,                 1.4141,                 1.4943,                 1.7327,                0.63456,                0.62827,                 0.6079,                0.34824,                 1.4654,                 1.3724,                 1.7232,              0.0007822,              0.0007822,              0.0007822
                     25,                  1.433,                 1.4951,                 1.7439,                0.57268,                0.70867,                0.67044,                0.37134,                 1.5204,                 1.3245,                 1.7413,              0.0007723,              0.0007723,              0.0007723
                     26,                 1.4222,                 1.4687,                 1.7253,                0.70485,                0.58767,                0.68556,                0.40073,                 1.4632,                 1.2855,                   1.69,              0.0007624,              0.0007624,              0.0007624
                     27,                 1.4062,                 1.4522,                  1.732,                0.61467,                0.68586,                0.66801,                0.36008,                 1.6107,                 1.2924,                 1.7857,              0.0007525,              0.0007525,              0.0007525
                     28,                  1.426,                 1.5032,                   1.74,                0.59167,                0.67016,                0.64174,                0.35528,                 1.5443,                 1.3588,                 1.7409,              0.0007426,              0.0007426,              0.0007426
                     29,                 1.3935,                 1.4487,                  1.706,                0.67431,                0.65445,                 0.6749,                0.36657,                 1.5878,                 1.3052,                 1.7603,              0.0007327,              0.0007327,              0.0007327
                     30,                 1.4031,                 1.4277,                 1.7218,                0.70297,                0.60209,                0.67207,                0.36358,                 1.6541,                 1.2314,                 1.8259,              0.0007228,              0.0007228,              0.0007228
                     31,                 1.3868,                 1.4054,                 1.7145,                0.66869,                 0.6129,                0.67261,                0.37187,                 1.5481,                 1.2959,                 1.7701,              0.0007129,              0.0007129,              0.0007129
                     32,                 1.3938,                 1.4144,                 1.6988,                0.62539,                 0.6905,                0.67663,                0.40233,                 1.4464,                 1.2195,                 1.6687,               0.000703,               0.000703,               0.000703
                     33,                 1.3887,                 1.3985,                 1.6858,                0.58479,                0.70157,                0.67805,                0.37747,                 1.6546,                 1.2476,                 1.7891,              0.0006931,              0.0006931,              0.0006931
                     34,                 1.3755,                 1.4247,                 1.6992,                0.56471,                0.74036,                0.69543,                0.38306,                 1.6103,                 1.2047,                 1.7787,              0.0006832,              0.0006832,              0.0006832
                     35,                  1.357,                  1.372,                 1.6839,                0.63467,                0.65969,                0.69986,                0.40193,                 1.5093,                 1.2282,                 1.6996,              0.0006733,              0.0006733,              0.0006733
                     36,                 1.3862,                 1.3705,                 1.6939,                0.69043,                0.65969,                0.65311,                0.36921,                 1.4799,                 1.2506,                 1.7294,              0.0006634,              0.0006634,              0.0006634
                     37,                 1.3571,                 1.3842,                 1.6855,                0.62148,                0.70488,                0.69864,                0.41037,                 1.5378,                 1.2427,                 1.7452,              0.0006535,              0.0006535,              0.0006535
                     38,                 1.3575,                 1.3772,                  1.669,                0.59164,                0.69786,                0.64175,                0.38477,                  1.376,                  1.326,                 1.6256,              0.0006436,              0.0006436,              0.0006436
                     39,                 1.3642,                 1.3772,                 1.6768,                0.64209,                0.67016,                0.68309,                0.40098,                 1.3934,                 1.2149,                 1.6428,              0.0006337,              0.0006337,              0.0006337
                     40,                 1.3891,                 1.3825,                 1.7009,                0.63092,                 0.6444,                0.68076,                0.38582,                 1.5924,                  1.225,                 1.7442,              0.0006238,              0.0006238,              0.0006238
                     41,                 1.3488,                 1.3427,                 1.6872,                0.63082,                0.68885,                0.71043,                0.42932,                 1.4688,                 1.1982,                 1.6534,              0.0006139,              0.0006139,              0.0006139
                     42,                 1.3512,                 1.3433,                 1.6676,                0.63279,                0.71728,                0.70789,                0.44166,                 1.3815,                 1.1635,                 1.6126,               0.000604,               0.000604,               0.000604
                     43,                  1.356,                  1.332,                 1.6804,                0.59535,                0.72409,                0.69447,                 0.4009,                 1.5726,                 1.2425,                 1.7421,              0.0005941,              0.0005941,              0.0005941
                     44,                 1.3366,                 1.3267,                 1.6578,                0.56647,                0.76621,                0.70455,                0.42151,                 1.3854,                    1.2,                 1.6432,              0.0005842,              0.0005842,              0.0005842
                     45,                 1.3414,                 1.3008,                 1.6705,                0.67174,                0.63874,                0.69206,                0.40595,                 1.4777,                 1.1512,                 1.6714,              0.0005743,              0.0005743,              0.0005743
                     46,                 1.3177,                 1.2835,                 1.6256,                0.64603,                0.63066,                0.67912,                0.40187,                 1.4878,                  1.226,                 1.6606,              0.0005644,              0.0005644,              0.0005644
                     47,                 1.3126,                 1.2752,                 1.6384,                0.59501,                0.66154,                0.69582,                0.41599,                 1.4401,                 1.2425,                 1.6393,              0.0005545,              0.0005545,              0.0005545
                     48,                 1.3215,                 1.3045,                 1.6422,                0.64154,                0.59686,                0.66762,                0.39776,                 1.4968,                  1.269,                 1.6887,              0.0005446,              0.0005446,              0.0005446
                     49,                 1.2923,                 1.2518,                 1.6232,                0.60467,                0.69671,                0.68394,                0.39151,                 1.5138,                 1.2226,                 1.7098,              0.0005347,              0.0005347,              0.0005347
                     50,                 1.2966,                 1.2399,                 1.6232,                0.63341,                0.72251,                0.72299,                0.41833,                    1.5,                 1.1951,                 1.6919,              0.0005248,              0.0005248,              0.0005248
                     51,                 1.3092,                 1.2681,                 1.6304,                0.56886,                0.70157,                0.67764,                0.39679,                 1.4629,                 1.2625,                 1.6747,              0.0005149,              0.0005149,              0.0005149
                     52,                 1.3313,                 1.2846,                  1.639,                0.59695,                0.65912,                0.67902,                0.39803,                 1.4485,                 1.2278,                 1.6534,               0.000505,               0.000505,               0.000505
                     53,                 1.3027,                 1.2724,                  1.624,                0.56638,                0.74346,                0.67321,                0.37428,                 1.4951,                 1.2127,                 1.7061,              0.0004951,              0.0004951,              0.0004951
                     54,                 1.2891,                 1.2436,                 1.6189,                0.69229,                0.60733,                0.67752,                0.40898,                  1.389,                 1.2076,                 1.6548,              0.0004852,              0.0004852,              0.0004852
                     55,                 1.2818,                 1.2407,                 1.6071,                 0.6704,                0.66024,                0.68422,                0.39274,                 1.4437,                  1.178,                 1.6842,              0.0004753,              0.0004753,              0.0004753
                     56,                 1.2774,                 1.2267,                 1.6145,                0.58335,                0.69634,                0.68151,                0.40278,                  1.418,                 1.2179,                 1.6423,              0.0004654,              0.0004654,              0.0004654
                     57,                 1.2614,                  1.202,                 1.6019,                0.59795,                0.74869,                0.70628,                0.43364,                 1.3828,                  1.156,                 1.6242,              0.0004555,              0.0004555,              0.0004555
                     58,                 1.2723,                 1.2065,                 1.5993,                0.74116,                0.62304,                0.69271,                0.40979,                  1.402,                 1.1636,                 1.6312,              0.0004456,              0.0004456,              0.0004456
                     59,                 1.2762,                 1.1982,                  1.595,                0.64125,                0.67539,                0.67138,                0.39048,                 1.4922,                 1.2502,                 1.7096,              0.0004357,              0.0004357,              0.0004357
                     60,                 1.2657,                 1.1875,                 1.6034,                0.64198,                0.65445,                0.66013,                0.35667,                 1.5933,                 1.2493,                 1.7834,              0.0004258,              0.0004258,              0.0004258
                     61,                 1.2561,                 1.1636,                 1.5858,                0.56552,                0.62695,                0.61772,                0.34979,                  1.597,                 1.3537,                 1.7939,              0.0004159,              0.0004159,              0.0004159
                     62,                 1.2568,                 1.1768,                 1.5815,                0.64152,                0.65969,                0.67664,                0.39374,                 1.4671,                 1.1887,                 1.7026,               0.000406,               0.000406,               0.000406
